split,epoch,loss,Acc,Macro-F1,Macro-Prec,Macro-Rec,Top-3 Acc,Top-5 Acc,ROC-AUC,PR-AUC
train,0,1.4425840778276324,0.8118,0.5500355836717203,0.5604576973504315,0.7081541120190964,0.8882,1.0,0.8538972470065895,0.6634061490109902
val,0,1.4425840778276324,0.10425921087013326,0.08597148120912593,0.42719951686881197,0.40014556541229734,0.2994512673112098,1.0,0.6992359084683083,0.5185337962891415
train,1,0.5024940229486674,0.8168,0.5865614783620362,0.572931425838029,0.6933226877701231,0.9104,1.0,0.8961019388507951,0.693638645979638
val,1,0.5024940229486674,0.24544900270011322,0.23365852558118064,0.3047348901674615,0.5076374018939082,0.5551781203727898,1.0,0.7883845444448573,0.5918847070989899
train,2,0.3495901945279911,0.8134,0.5903453421659137,0.5769532723600939,0.7159021128835874,0.9288,1.0,0.8802532210717035,0.6980633501241943
val,2,0.3495901945279911,0.3134744360247365,0.23895775075123424,0.2817311838746063,0.49710420560572277,0.80341433673025,1.0,0.7559709290078852,0.5894831393438463
train,3,0.2935689444420859,0.8306,0.6151529089198521,0.5939749064367061,0.7141641257068712,0.9834,1.0,0.8741414902273682,0.7095786579818408
val,3,0.2935689444420859,0.5936765090148942,0.3672444361451145,0.3331846235802963,0.6084569087346715,0.8682170542635659,1.0,0.7989628509411085,0.6237190193626545
train,4,0.26477994449669495,0.8318,0.6193256885741987,0.5968684351273412,0.7078281268595259,0.9878,1.0,0.8569952699854058,0.738284170871302
val,4,0.26477994449669495,0.5853148680428534,0.3846615817147324,0.4051790026981209,0.6097309684063159,0.8861597421827367,1.0,0.7733106169774734,0.5939249074993782
train,5,0.23929865995887667,0.8354,0.6284027425438751,0.601348016090318,0.7547527741580182,0.9862,1.0,0.8779518244651399,0.7393214911228145
val,5,0.23929865995887667,0.5985541329152513,0.38513753028008185,0.4005116004373135,0.6149713532220812,0.9525302673983103,1.0,0.7772687362922946,0.601232504855833
train,6,0.20724865730153397,0.838,0.6315788611189276,0.6049925779329618,0.7521767241859498,0.9892,1.0,0.8799617801304025,0.7360871088966363
val,6,0.20724865730153397,0.6153645152861249,0.40353943910607715,0.3951579892452344,0.6313777377037612,0.9623726156258166,1.0,0.8413072950565373,0.680038580209229
train,7,0.18680922244675457,0.841,0.6281582160149436,0.6028224957368755,0.7280348895477999,0.986,1.0,0.8718545698342719,0.7399449940907201
val,7,0.18680922244675457,0.602996254681648,0.39152162785376937,0.4017389461580055,0.6109780200889164,0.9488720494730424,1.0,0.7658389822005758,0.5981309232704194
train,8,0.1656282494077459,0.8368,0.6360049338426909,0.6090174182505055,0.7200470613131223,0.9898,1.0,0.8647238239863952,0.7394741982270213
val,8,0.1656282494077459,0.6639665534361119,0.463159573148353,0.45005414961817014,0.6457191980772026,0.9697761519031444,1.0,0.8860343266285986,0.7374524407452182
train,9,0.14881311965291388,0.8388,0.6326711669268168,0.6042686947063212,0.7526099121492619,0.9864,1.0,0.876709901617137,0.7392596336315786
val,9,0.14881311965291388,0.6155387161397091,0.4045797520415385,0.39000580367142224,0.6179231344734475,0.9625468164794008,1.0,0.842282052448135,0.6562347698832174
train,10,0.1365681898605544,0.837,0.6324847552901789,0.6054942644421218,0.7268509906445916,0.987,1.0,0.8662311464358655,0.7321601131693123
val,10,0.1365681898605544,0.6016026478529745,0.3947816820223155,0.44910705706513776,0.6107739352383178,0.9678599425137183,1.0,0.8661080591937786,0.7122695207317021
train,11,0.13532309743459336,0.895,0.6546351828907214,0.6318239212726868,0.7473802708989542,0.9884,1.0,0.8964076277299944,0.740232671698894
val,11,0.13532309743459336,0.6557791133176553,0.48947043914837646,0.5871859785198368,0.6672092474035395,0.9670760386725895,1.0,0.8991250981412062,0.744998901184219
train,12,0.12387473721173592,0.8908,0.6545744916709632,0.629153377063108,0.7459764794465823,0.987,1.0,0.9036087753412876,0.7506309359034697
val,12,0.12387473721173592,0.602038149986935,0.3976703962118678,0.5083360014798666,0.6119683763034285,0.9671631390993816,1.0,0.9133964468185842,0.7582288818476769
train,13,0.12289646145654842,0.9088,0.6628637531850055,0.6423136490279615,0.7557863955244175,0.9862,1.0,0.8988847900263496,0.7462518572781833
val,13,0.12289646145654842,0.7477571640101036,0.5938455208229404,0.6220349261447001,0.745071086527244,0.9851929274453445,1.0,0.8983704187535071,0.7580664452723397
train,14,0.1110788730729837,0.9224,0.6700485845163252,0.6464686805370451,0.7585194258095441,0.9834,1.0,0.9077513895103433,0.7515882632477319
val,14,0.1110788730729837,0.6058705687657869,0.41922810489089307,0.5461035430690726,0.6134939970943061,0.9783119937287693,1.0,0.8789705040220234,0.71833067896591
train,15,0.11228490219218656,0.9338,0.6681525813524093,0.6417877883866149,0.7676495860028874,0.9786,1.0,0.9044684825754276,0.7526467697218602
val,15,0.11228490219218656,0.625903666927968,0.4242606530441071,0.59827425045371,0.6278483751229557,0.9736956711087884,1.0,0.9100687280850861,0.7421246877159904
train,16,0.11038400564575568,0.8554,0.6415392355608799,0.610853500552696,0.738975497200789,0.9872,1.0,0.8942875711843215,0.7353754582543743
val,16,0.11038400564575568,0.6933193972650465,0.5362912762037599,0.6354705784310147,0.645515362621444,0.9916383590279593,1.0,0.9131695166007793,0.763340630807467
train,17,0.10194227017927915,0.9236,0.6781923797475369,0.650939357872369,0.8168989589357285,0.9836,1.0,0.8991590201441302,0.7539633083940184
val,17,0.10194227017927915,0.7636965421130564,0.650215407762904,0.7268304293108296,0.716729965335479,0.9880672415294834,1.0,0.9368862925131065,0.7997918286102927
train,18,0.10052727990841959,0.9362,0.6749664891525874,0.6483021385256609,0.7688301146305989,0.9834,1.0,0.906011665516386,0.7550824426052828
val,18,0.10052727990841959,0.705165055308771,0.5533492282728805,0.6696831280123784,0.6587563413225614,0.9905931539064542,1.0,0.933255101654083,0.76919609383474
train,19,0.09788892908545677,0.933,0.6717552875791577,0.6430800607063912,0.7677222979040292,0.98,1.0,0.9068211061325544,0.7538846476277434
val,19,0.09788892908545677,0.7413117324274889,0.5869754224925595,0.6669799693243561,0.6931965596947478,0.9881543419562756,1.0,0.9345862804956628,0.7593819865230534
train,20,0.0918127790937433,0.9296,0.6800587510820921,0.6510006106355768,0.7636679877327094,0.9822,1.0,0.906788196440601,0.755484053671734
val,20,0.0918127790937433,0.7246755509101994,0.5902838681027316,0.6833335982722668,0.6671636463527194,0.99041895305287,1.0,0.9249934446181405,0.758806685930764
train,21,0.09828399178513791,0.9222,0.6687852596133845,0.637955056101591,0.7647162272849257,0.9806,1.0,0.9042121080366341,0.756316282338543
val,21,0.09828399178513791,0.6844351537322533,0.5288886510519084,0.6451890743766484,0.6216406253895735,0.9915512586011671,1.0,0.9332342543203588,0.7558142946323304
train,22,0.10125921714643482,0.8722,0.6571564387412938,0.6218615239461058,0.8038827520081886,0.9816,1.0,0.9242892213146783,0.7429586840401885
val,22,0.10125921714643482,0.755683302848184,0.6441606444451473,0.7167250616612597,0.7031875752244146,0.9926835641494643,1.0,0.9497876018215458,0.7879096608213699
