split,epoch,loss,Acc,Macro-F1,Macro-Prec,Macro-Rec,Top-3 Acc,Top-5 Acc,ROC-AUC,PR-AUC
train,0,0.6169410730401675,0.6818,0.6653985179362588,0.7926081327155727,0.7095940184742588,1.0,1.0,0.9846673341515406,0.9852733488614316
val,0,0.6169410730401675,0.7031662269129287,0.6891421197390653,0.7990668159761105,0.7245185335677906,1.0,1.0,0.9767971360716263,0.9775317062929132
train,1,0.38430035511652627,0.9674,0.9672014757806642,0.966195199941424,0.9688602157483367,1.0,1.0,0.9959875008074414,0.9961096852424716
val,1,0.38430035511652627,0.9366754617414248,0.9365889365261948,0.9368964821041932,0.9396389264472016,1.0,1.0,0.9902831001604304,0.9905614122547752
train,2,0.30226861536502836,0.9804,0.9802593804603963,0.979446590216694,0.9813416445966023,1.0,1.0,0.9991216652671016,0.9991300222825223
val,2,0.30226861536502836,0.9366754617414248,0.9366313457479047,0.9380246758765789,0.9404796099228673,1.0,1.0,0.996623254706076,0.9967742978054523
train,3,0.2401777581622203,0.9926,0.9925200274244097,0.9933381346777097,0.9918141592920354,1.0,1.0,0.999880821652348,0.9998796946984659
val,3,0.2401777581622203,0.9881266490765171,0.9880386927774534,0.9886389169756207,0.98752635892981,1.0,1.0,0.9990682424811372,0.9990982187944337
train,4,0.20095931614438692,0.996,0.9959595959595959,0.9963768115942029,0.995575221238938,1.0,1.0,0.9999501001227311,0.9999493986553734
val,4,0.20095931614438692,0.9934036939313984,0.9933634865685024,0.9932633053221289,0.9934671888245143,1.0,1.0,0.9993484703063591,0.9993695946895438
train,5,0.1743461965272824,0.9964,0.9963667948299975,0.9963286463752448,0.996405270977327,1.0,1.0,0.9999791680124024,0.9999788358516166
val,5,0.1743461965272824,0.9947229551451188,0.9946896827120448,0.9946896827120448,0.9946896827120448,1.0,1.0,0.9995726525665366,0.9995845724927397
train,6,0.14448001968363922,0.9976,0.9975778632199983,0.9975396214911592,0.9976164330469608,1.0,1.0,0.9999875654027518,0.9999873718163185
val,6,0.14448001968363922,0.9868073878627969,0.9867450075193229,0.9861480751901759,0.9875648902557779,1.0,1.0,0.9994605614364478,0.9994809326810921
train,7,0.1308206437776486,0.9984,0.998384612203544,0.9985443959243085,0.9982300884955753,1.0,1.0,0.9999919255862024,0.9999917945851533
val,7,0.1308206437776486,0.996042216358839,0.9960180919411015,0.9959173669467787,0.9961223474684919,1.0,1.0,0.9995096013058616,0.999528416020637
test,7,0.0,0.9953917050691244,0.9953656022472449,0.9953168144925111,0.9954152674470912,1.0,1.0,0.9999721027872803,0.9999718945798656
