split,epoch,loss,Acc,Macro-F1,Macro-Prec,Macro-Rec,Top-3 Acc,Top-5 Acc,ROC-AUC,PR-AUC
train,0,0.9833340299626191,0.0544,0.0623350545037292,0.36873040752351094,0.2559735250112118,1.0,1.0,nan,0.5939933136265071
val,0,0.9833340299626191,0.033500240284000185,0.03767267892973252,0.35012955466429085,0.558044634868586,1.0,1.0,0.8802945669786201,0.5692054116563051
train,1,0.3831881674627463,0.4734,0.3151905263321721,0.4016777695534172,0.41148502602936327,1.0,1.0,nan,0.5985265551557658
val,1,0.3831881674627463,0.5580324615933154,0.309486739713648,0.3723496735879876,0.7557523610727098,1.0,1.0,0.9068500823763701,0.6490354706984619
train,2,0.26102505971988044,0.5116,0.29362915603400175,0.37674628210905814,0.4356562957652576,1.0,1.0,nan,0.6084769137865258
val,2,0.26102505971988044,0.5420341978389942,0.32290279076463846,0.38296767868932347,0.756058465125156,1.0,1.0,0.9239410419165875,0.682458411617071
train,3,0.23721039295196533,0.5024,0.2845625445041002,0.37298440391223897,0.4419547941110788,1.0,1.0,nan,0.6142828139177023
val,3,0.23721039295196533,0.5402049389988683,0.3727284357849961,0.41655554520756866,0.7798806321284374,1.0,1.0,0.9502918506416603,0.7584576999311716
train,4,0.21404932563503584,0.5892,0.32437693946747614,0.38203078744819424,0.4983901195914064,1.0,1.0,nan,0.6333257364606222
val,4,0.21404932563503584,0.5714263568294914,0.33559282695112375,0.3856095148434288,0.8013854773232677,1.0,1.0,0.9633441174341462,0.784007989632118
train,5,0.19412340534230074,0.59,0.356141945979257,0.40450691655510934,0.48995148107981573,1.0,1.0,nan,0.6386533939578848
val,5,0.19412340534230074,0.5743872757995256,0.32500767016674986,0.37999541614457755,0.8140707125188543,1.0,1.0,0.9625387687396345,0.8490028675509279
train,6,0.17862235779563587,0.7306,0.400458568843494,0.4093959731543624,0.5587019598782649,1.0,1.0,nan,0.6566173462896255
val,6,0.17862235779563587,0.7244175050769683,0.3947529151133398,0.39831191061823196,0.8681429675055717,1.0,1.0,0.9733589713591444,0.8246865826773364
train,7,0.17424385696649553,0.7252,0.3883205667590413,0.4012381505126717,0.5663633446741255,1.0,1.0,nan,0.6652112300406137
val,7,0.17424385696649553,0.7754042196970872,0.5625843303349957,0.5211911927976223,0.9073842386258687,1.0,1.0,0.9813314294496648,0.869211767099241
train,8,0.16719126564761003,0.9918,0.6467678653538306,0.6382978723404255,0.6558726953919319,1.0,1.0,nan,0.6603543935964624
val,8,0.16719126564761003,0.9545940750616212,0.7234182813501983,0.6221840191970202,0.9568548092153071,1.0,1.0,0.9761020569332349,0.8482748966458408
train,9,0.16074151198069256,0.9648,0.6512022962798408,0.6608695652173914,0.6418262475226942,1.0,1.0,nan,0.6565590158045498
val,9,0.16074151198069256,0.9195901220022633,0.5949906436131941,0.5221330329168757,0.9379938639360635,1.0,1.0,0.9675158348886921,0.8512502572481884
train,10,0.15171451655526955,0.9968,0.6587204080899522,0.6530426884650318,0.6646464166165261,1.0,1.0,nan,0.6659628798438997
val,10,0.15171451655526955,0.9620971367448494,0.8060455800244863,0.7249338127437301,0.9712067298423821,1.0,1.0,0.9910060298440103,0.856703311965117
train,11,0.14398968815803528,0.9986,0.6631695722805526,0.6610800744878956,0.6652919944086501,1.0,1.0,nan,0.6666666666666666
val,11,0.14398968815803528,0.9621126389384098,0.7911811518641167,0.6967666295350953,0.9780740523781567,1.0,1.0,0.9868508651779339,0.826453223114278
train,12,0.1361245815952619,0.9996,0.6657196969696969,0.6666666666666666,0.6647780925401322,1.0,1.0,nan,0.6649112503142743
val,12,0.1361245815952619,0.9619731191963663,0.7901053695500387,0.6962599804472244,0.9755804747184111,1.0,1.0,0.986877225030312,0.9030158285899383
train,13,0.12850206481913726,0.9998,0.666193853427896,0.6666666666666666,0.6657223796033994,1.0,1.0,nan,0.6657890462700661
val,13,0.12850206481913726,0.9627482288743857,0.8022874956360346,0.7099701573521432,0.984810854300742,1.0,1.0,0.9942550266397321,0.8709347127813222
train,14,0.10578348922232787,0.9998,0.666193853427896,0.6666666666666666,0.6657223796033994,1.0,1.0,nan,0.6657890462700661
val,14,0.10578348922232787,0.9627637310679461,0.8056590109129099,0.7147464912087024,0.9854469866162637,1.0,1.0,0.9937442663944841,0.8678163381686438
train,15,0.10415263567119837,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.6666666666666666
